symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore_field
MATIC,1678924800000,1.11180000,1.15680000,1.09710000,1.14780000,92359555.30000000,1679011199999,104288377.18052000,252034,44676338.40000000,50437975.42357000,0
MATIC,1679011200000,1.14780000,1.22830000,1.13480000,1.22250000,97688607.80000000,1679097599999,115995716.85718000,307231,51259400.70000000,60857960.74482000,0
MATIC,1679097600000,1.22250000,1.24990000,1.16410000,1.17040000,98060311.70000000,1679183999999,119189608.80283000,309762,48192662.40000000,58609834.98601000,0
MATIC,1679184000000,1.17040000,1.21750000,1.15630000,1.16620000,74870824.90000000,1679270399999,89029319.27536000,237171,39413934.40000000,46872489.13595000,0
MATIC,1679270400000,1.16630000,1.17170000,1.09720000,1.10270000,137013592.30000000,1679356799999,155930013.89475000,360302,67866825.50000000,77227529.70765000,0
MATIC,1679356800000,1.10270000,1.16960000,1.07880000,1.15260000,106479343.20000000,1679443199999,120198260.28459000,310714,54592481.90000000,61644738.75183000,0
MATIC,1679443200000,1.15280000,1.16000000,1.08600000,1.10770000,105165344.90000000,1679529599999,119057006.63619000,319942,52852275.60000000,59860798.32857000,0
MATIC,1679529600000,1.10780000,1.15790000,1.09910000,1.13600000,72673660.70000000,1679615999999,81671217.89253000,238497,36755905.60000000,41312403.53681000,0
MATIC,1679616000000,1.13610000,1.14800000,1.06320000,1.09680000,86209117.20000000,1679702399999,95184897.70735000,268340,42913674.70000000,47395399.34370000,0
MATIC,1679702400000,1.09690000,1.11290000,1.06190000,1.07860000,57706854.30000000,1679788799999,62900091.32740000,172784,30145128.10000000,32838395.58359000,0
MATIC,1679788800000,1.07860000,1.11960000,1.07250000,1.10400000,47511889.40000000,1679875199999,52135288.02101000,147355,23559470.70000000,25852420.99671000,0
MATIC,1679875200000,1.10390000,1.10860000,1.02550000,1.04550000,82884293.30000000,1679961599999,87985608.30705000,222090,39822365.00000000,42262331.45620000,0
MATIC,1679961600000,1.04540000,1.10560000,1.03270000,1.08600000,65145868.60000000,1680047999999,69239379.54968000,191757,32070966.30000000,34083150.00094000,0
MATIC,1680048000000,1.08590000,1.14640000,1.08420000,1.12230000,73571360.40000000,1680134399999,82689733.28039000,226021,40184169.50000000,45137504.32589000,0
MATIC,1680134400000,1.12220000,1.14250000,1.07900000,1.09300000,69415954.40000000,1680220799999,76826796.26059000,210887,33522685.20000000,37118609.37150000,0
MATIC,1680220800000,1.09300000,1.12350000,1.07320000,1.11760000,56752022.70000000,1680307199999,62448974.79156000,154106,28147043.10000000,30968332.50314000,0
MATIC,1680307200000,1.11760000,1.12840000,1.09710000,1.11200000,33675594.50000000,1680393599999,37390504.62712000,112222,16702138.40000000,18549111.25085000,0
MATIC,1680393600000,1.11200000,1.12200000,1.08090000,1.09530000,32275091.50000000,1680479999999,35585418.93036000,132127,15548910.30000000,17149938.48792000,0
MATIC,1680480000000,1.09530000,1.11920000,1.06870000,1.09690000,65527596.10000000,1680566399999,71946264.98267000,224351,32560997.40000000,35749852.11745000,0
MATIC,1680566400000,1.09690000,1.15500000,1.09220000,1.13880000,62782815.30000000,1680652799999,70575385.91913000,199419,33278576.10000000,37407904.13703000,0
MATIC,1680652800000,1.13870000,1.16930000,1.12120000,1.14030000,55452938.50000000,1680739199999,63499895.96101000,188239,27598344.80000000,31614116.00527000,0
MATIC,1680739200000,1.14020000,1.14170000,1.10680000,1.11480000,34323644.40000000,1680825599999,38451542.47932000,123520,16986641.20000000,19030818.30473000,0
MATIC,1680825600000,1.11470000,1.12020000,1.09570000,1.10690000,29905601.10000000,1680911999999,33098380.17316000,101597,15023468.80000000,16627108.47711000,0
MATIC,1680912000000,1.10690000,1.11760000,1.09950000,1.10200000,18119817.90000000,1680998399999,20110832.53351000,69864,8875906.10000000,9851197.08328000,0
MATIC,1680998400000,1.10190000,1.10990000,1.08340000,1.10080000,29136430.20000000,1681084799999,31932495.33957000,96394,14370449.40000000,15754754.65277000,0
MATIC,1681084800000,1.10080000,1.12410000,1.08640000,1.12070000,36381653.10000000,1681171199999,40233727.07133000,107178,18514929.80000000,20485557.30227000,0
MATIC,1681171200000,1.12080000,1.13140000,1.10860000,1.11200000,41221811.90000000,1681257599999,46248413.51252000,116790,20454054.20000000,22943740.43451000,0
MATIC,1681257600000,1.11210000,1.11700000,1.08090000,1.10370000,49608152.80000000,1681343999999,54504142.17403000,153157,25256456.30000000,27750097.91535000,0
MATIC,1681344000000,1.10370000,1.13900000,1.09590000,1.13340000,47157902.60000000,1681430399999,53112007.79602000,132934,25145874.40000000,28322669.21942000,0
MATIC,1681430400000,1.13350000,1.19000000,1.13330000,1.15990000,103734364.40000000,1681516799999,121086297.95876000,280035,55581550.70000000,64873200.62302000,0
MATIC,1681516800000,1.15980000,1.18470000,1.14260000,1.17020000,56850756.60000000,1681603199999,66353375.69767000,148953,26005396.90000000,30345616.67133000,0
MATIC,1681603200000,1.17030000,1.18850000,1.15050000,1.18280000,39211719.30000000,1681689599999,45770219.46987000,116798,18628857.00000000,21743789.43664000,0
MATIC,1681689600000,1.18290000,1.18450000,1.14620000,1.15290000,57261192.60000000,1681775999999,66703699.83702000,153231,25749388.20000000,29986519.67742000,0
MATIC,1681776000000,1.15300000,1.18400000,1.14220000,1.17180000,50427246.30000000,1681862399999,58894862.89527000,127728,25455039.20000000,29732362.90974000,0
MATIC,1681862400000,1.17180000,1.17760000,1.05500000,1.08430000,87360572.00000000,1681948799999,97555598.31569000,265407,42147561.30000000,47057333.81044000,0
MATIC,1681948800000,1.08400000,1.09830000,1.03690000,1.04580000,76321479.20000000,1682035199999,81569604.09185000,196765,39777038.60000000,42539296.27021000,0
MATIC,1682035200000,1.04580000,1.05750000,1.00000000,1.01150000,59168608.70000000,1682121599999,61087328.10310000,174287,28663081.80000000,29615479.56674000,0
MATIC,1682121600000,1.01160000,1.02840000,1.00550000,1.02450000,31886638.10000000,1682207999999,32452445.21799000,89593,16062925.40000000,16345224.18315000,0
MATIC,1682208000000,1.02480000,1.03250000,0.97850000,1.00370000,46620740.20000000,1682294399999,46899417.56990000,132675,22801089.40000000,22935691.89936000,0
MATIC,1682294400000,1.00370000,1.02490000,0.97260000,0.98890000,60968224.40000000,1682380799999,60663980.45072000,159631,30937507.10000000,30787624.55626000,0
MATIC,1682380800000,0.98900000,1.01680000,0.94950000,1.00430000,68309773.10000000,1682467199999,66488474.92775000,167761,33892359.80000000,32995157.72853000,0
MATIC,1682467200000,1.00440000,1.05950000,0.94350000,0.98590000,112722354.70000000,1682553599999,113448261.72856000,281061,55524825.70000000,55941158.46041000,0
MATIC,1682553600000,0.98580000,1.03100000,0.97870000,1.01220000,78910649.10000000,1682639999999,79303895.63454000,202389,41411448.70000000,41629794.72214000,0
MATIC,1682640000000,1.01220000,1.01610000,0.97970000,0.99840000,51748452.10000000,1682726399999,51685368.33800000,121645,27722736.70000000,27699418.94706000,0
MATIC,1682726400000,0.99830000,1.02330000,0.99220000,1.00320000,36255695.00000000,1682812799999,36555214.50665000,99017,19584080.40000000,19747852.59142000,0
MATIC,1682812800000,1.00320000,1.01590000,0.97420000,0.98070000,43418304.30000000,1682899199999,43282433.35464000,116211,21897010.20000000,21847018.12218000,0
MATIC,1682899200000,0.98070000,0.98810000,0.94500000,0.95940000,50236668.50000000,1682985599999,48746382.18221000,133059,24120103.50000000,23419311.08176000,0
MATIC,1682985600000,0.95920000,0.98070000,0.95170000,0.97680000,40560596.10000000,1683071999999,39146088.84410000,91735,20631065.50000000,19915804.99982000,0
MATIC,1683072000000,0.97680000,1.01790000,0.96250000,1.00590000,70885685.70000000,1683158399999,70005925.27556000,181492,37278471.00000000,36810699.27303000,0
MATIC,1683158400000,1.00590000,1.00800000,0.97880000,0.98260000,36523489.40000000,1683244799999,36267134.72341000,100838,18601386.90000000,18471888.76428000,0
MATIC,1683244800000,0.98260000,1.00850000,0.97500000,0.99790000,44738112.90000000,1683331199999,44481643.54626000,108347,22885536.60000000,22756085.22428000,0
MATIC,1683331200000,0.99780000,1.00500000,0.95000000,0.97530000,51505951.90000000,1683417599999,50132119.61061000,126549,25558356.00000000,24902019.99663000,0
MATIC,1683417600000,0.97530000,0.98520000,0.96070000,0.96360000,32707806.10000000,1683503999999,31887058.18140000,78213,17101570.30000000,16672869.63567000,0
MATIC,1683504000000,0.96330000,0.96720000,0.87500000,0.90050000,80695793.60000000,1683590399999,74302432.97075000,203974,37083876.50000000,34173866.03930000,0
MATIC,1683590400000,0.90050000,0.90760000,0.86660000,0.87630000,63629210.30000000,1683676799999,56295771.01110000,128359,30908682.90000000,27355413.87375000,0
MATIC,1683676800000,0.87630000,0.90460000,0.83350000,0.87640000,80206751.60000000,1683763199999,70146628.21000000,178308,39337965.80000000,34402911.72335000,0
MATIC,1683763200000,0.87640000,0.87700000,0.82860000,0.84090000,59096376.40000000,1683849599999,50253297.88440000,120557,29563095.80000000,25133916.27563000,0
MATIC,1683849600000,0.84090000,0.87400000,0.81770000,0.86480000,82246344.90000000,1683935999999,69326092.22294000,166020,42132827.30000000,35521162.62884000,0
MATIC,1683936000000,0.86480000,0.86640000,0.84740000,0.84870000,36767487.20000000,1684022399999,31502276.22767000,69086,18154101.40000000,15550187.43033000,0
MATIC,1684022400000,0.84870000,0.86910000,0.83920000,0.85930000,29610706.30000000,1684108799999,25298802.71133000,63927,15188482.20000000,12979755.87004000,0
MATIC,1684108800000,0.85910000,0.87780000,0.84650000,0.85920000,37803653.20000000,1684195199999,32735408.82443000,93781,20072035.70000000,17380453.41674000,0
MATIC,1684195200000,0.85910000,0.86520000,0.83450000,0.84550000,46773426.10000000,1684281599999,39666897.86269000,105806,22283454.40000000,18906357.02320000,0
MATIC,1684281600000,0.84550000,0.90170000,0.83990000,0.88680000,70737812.20000000,1684367999999,61450520.73947000,159405,36329668.80000000,31593643.01729000,0
MATIC,1684368000000,0.88680000,0.89400000,0.84210000,0.87220000,64684528.20000000,1684454399999,56257349.07308000,142724,32362692.60000000,28148536.08534000,0
MATIC,1684454400000,0.87220000,0.88090000,0.86290000,0.87160000,40340967.60000000,1684540799999,35138952.13389000,78240,20735030.70000000,18061074.04742000,0
MATIC,1684540800000,0.87160000,0.87940000,0.86400000,0.87680000,23244447.50000000,1684627199999,20246879.85885000,51068,11903465.60000000,10367681.96844000,0
MATIC,1684627200000,0.87680000,0.88000000,0.85280000,0.85650000,22006913.90000000,1684713599999,19095946.16967000,53725,11155853.70000000,9681222.92869000,0
MATIC,1684713600000,0.85660000,0.87650000,0.84380000,0.87180000,35669947.80000000,1684799999999,30770015.35772000,87946,18826321.60000000,16245601.61237000,0
MATIC,1684800000000,0.87180000,0.89350000,0.86920000,0.88930000,38948769.90000000,1684886399999,34420962.10068000,75791,20167096.40000000,17820823.14395000,0
MATIC,1684886400000,0.88930000,0.89060000,0.85510000,0.87300000,49021661.20000000,1684972799999,42639835.10696000,93205,24937413.60000000,21691998.11198000,0
MATIC,1684972800000,0.87310000,0.90130000,0.85440000,0.88900000,60386476.80000000,1685059199999,53189912.36081000,113359,30427638.30000000,26811005.38938000,0
MATIC,1685059200000,0.88910000,0.97130000,0.88740000,0.91070000,101620588.70000000,1685145599999,93678635.91419000,225138,51196080.00000000,47194296.69672000,0
MATIC,1685145600000,0.91060000,0.92570000,0.90670000,0.92030000,27898128.70000000,1685231999999,25609808.80955000,67244,13760103.50000000,12630426.34913000,0
MATIC,1685232000000,0.92020000,0.95530000,0.91760000,0.94060000,37512694.80000000,1685318399999,34966871.38046000,90264,17225588.30000000,16055596.15805000,0
